Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Parental_bR1	Peptides Parental_bR2	Peptides Parental_bR3	Peptides Resistant_bR1	Peptides Resistant_bR2	Peptides Resistant_bR3	Razor + unique peptides Parental_bR1	Razor + unique peptides Parental_bR2	Razor + unique peptides Parental_bR3	Razor + unique peptides Resistant_bR1	Razor + unique peptides Resistant_bR2	Razor + unique peptides Resistant_bR3	Unique peptides Parental_bR1	Unique peptides Parental_bR2	Unique peptides Parental_bR3	Unique peptides Resistant_bR1	Unique peptides Resistant_bR2	Unique peptides Resistant_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type Parental_bR1	Identification type Parental_bR2	Identification type Parental_bR3	Identification type Resistant_bR1	Identification type Resistant_bR2	Identification type Resistant_bR3	Sequence coverage Parental_bR1 [%]	Sequence coverage Parental_bR2 [%]	Sequence coverage Parental_bR3 [%]	Sequence coverage Resistant_bR1 [%]	Sequence coverage Resistant_bR2 [%]	Sequence coverage Resistant_bR3 [%]	Intensity	Intensity Parental_bR1	Intensity Parental_bR2	Intensity Parental_bR3	Intensity Resistant_bR1	Intensity Resistant_bR2	Intensity Resistant_bR3	LFQ intensity Parental_bR1	LFQ intensity Parental_bR2	LFQ intensity Parental_bR3	LFQ intensity Resistant_bR1	LFQ intensity Resistant_bR2	LFQ intensity Resistant_bR3	MS/MS Count Parental_bR1	MS/MS Count Parental_bR2	MS/MS Count Parental_bR3	MS/MS Count Resistant_bR1	MS/MS Count Resistant_bR2	MS/MS Count Resistant_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|O75223|GGCT_HUMAN	sp|O75223|GGCT_HUMAN	1	1	1	>sp|O75223|GGCT_HUMAN Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	6.9	6.9	6.9	21.007	188	188	0.0018657	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	6.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1				182	6168	True	6181	30186	18876	18876		
sp|O75306|NDUS2_HUMAN	sp|O75306|NDUS2_HUMAN	1	1	1	>sp|O75306|NDUS2_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens GN=NDUFS2 PE=1 SV=2	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2.6	2.6	2.6	52.545	463	463	0.0047281	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	2.6	2.6	0	0	0	0	30485000	12361000	18123000	0	0	0	0	0	15352000	0	0	0	0	1	1	0	0	0	0	2				183	4159	True	4167	20594;20595	12860;12861	12861		
sp|O75340|PDCD6_HUMAN	sp|O75340|PDCD6_HUMAN	2	2	2	>sp|O75340|PDCD6_HUMAN Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1	1	2	2	2	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	12.6	12.6	12.6	21.868	191	191	0	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	12.6	12.6	12.6	5.8	5.8	5.8	183320000	48106000	40415000	41793000	23575000	12214000	17219000	34152000	37539000	31050000	0	0	0	0	3	1	1	0	0	5				184	336;4752	True;True	335;4763	1549;1550;1551;23576;23577;23578;23579;23580;23581;23582;23583;23584;23585	999;1000;14703;14704;14705;14706;14707	1000;14704		
sp|O75347|TBCA_HUMAN	sp|O75347|TBCA_HUMAN	1	1	1	>sp|O75347|TBCA_HUMAN Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	16.7	16.7	16.7	12.855	108	108	0.0015209	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	16.7	16.7	16.7	0	0	0	103890000	37584000	3995800	62310000	0	0	0	0	0	48002000	0	0	0	1	0	1	0	0	0	2				185	3508	True	3515	17392;17393;17394;17395	10863;10864	10864		
sp|O75348|VATG1_HUMAN	sp|O75348|VATG1_HUMAN	1	1	1	>sp|O75348|VATG1_HUMAN V-type proton ATPase subunit G 1 OS=Homo sapiens GN=ATP6V1G1 PE=1 SV=3	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	9.3	9.3	9.3	13.757	118	118	0.0047591	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	0	9.3	0	9.3	9.3	9.3	53247000	0	11656000	0	16750000	12798000	12042000	0	0	0	0	0	16382000	0	0	0	0	1	0	1				186	1643	True	1647	8122;8123;8124;8125	5017;5018;5019	5019		
sp|O75363|BCAS1_HUMAN	sp|O75363|BCAS1_HUMAN	11	11	11	>sp|O75363|BCAS1_HUMAN Breast carcinoma-amplified sequence 1 OS=Homo sapiens GN=BCAS1 PE=1 SV=2	1	11	11	11	10	9	10	0	1	1	10	9	10	0	1	1	10	9	10	0	1	1	38.2	38.2	38.2	61.708	584	584	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	34.1	28.1	32.2	0	3.3	3.3	846460000	351540000	252220000	241160000	0	909560	632830	210370000	221880000	223560000	0	0	0	9	7	10	0	0	0	26				187	567;1637;2033;2198;2546;2547;3810;5763;6463;6536;6606	True;True;True;True;True;True;True;True;True;True;True	568;1641;2039;2205;2553;2554;3818;5774;6478;6551;6621	2695;8089;8090;8091;10009;10010;10011;10741;12404;12405;12406;12407;12408;12409;12410;12411;12412;18798;18799;18800;18801;18802;18803;18804;18805;18806;18807;18808;18809;28316;28317;28318;28319;31509;31510;31511;31857;31858;31859;32248;32249;32250	1714;4995;4996;6220;6221;6222;6692;7720;7721;7722;7723;11763;11764;11765;11766;11767;11768;17667;17668;17669;17670;17671;19761;19762;19974;19975;20204;20205;20206	1714;4995;6220;6692;7720;7723;11766;17668;19761;19975;20206		
sp|O75367|H2AY_HUMAN;sp|Q9P0M6|H2AW_HUMAN	sp|O75367|H2AY_HUMAN	7;1	7;1	7;1	>sp|O75367|H2AY_HUMAN Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4	2	7	7	7	7	6	6	2	1	2	7	6	6	2	1	2	7	6	6	2	1	2	32.5	32.5	32.5	39.617	372	372;372	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	32.5	29.6	29.6	9.9	5.4	9.9	815190000	357910000	212400000	224470000	8213000	5853700	6342500	217590000	199890000	196990000	8127500	0	8793600	9	9	8	0	0	0	26				188	83;1714;2483;3012;3117;5158;6048	True;True;True;True;True;True;True	83;1719;2490;3019;3124;5169;6061	363;364;365;366;367;368;8476;8477;8478;12038;12039;12040;12041;14665;14666;14667;14668;14669;14670;14671;14672;14673;15292;15293;15294;15295;15296;15297;15298;15299;15300;25519;25520;25521;25522;29637	241;242;243;244;245;5255;5256;5257;7477;7478;7479;7480;9121;9122;9123;9124;9125;9126;9539;9540;9541;9542;9543;9544;15911;15912;15913;18527	242;5257;7477;9123;9542;15912;18527		
sp|O75368|SH3L1_HUMAN	sp|O75368|SH3L1_HUMAN	1	1	1	>sp|O75368|SH3L1_HUMAN SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	15.8	15.8	15.8	12.774	114	114	0.001292	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	0	0	0	15.8	15.8	15.8	22838000	0	0	0	8334900	5241000	9262600	0	0	0	0	0	9456300	0	0	0	1	0	1	2				189	2024	True	2030	9970;9971;9972;9973	6189;6190	6189		
sp|O75369|FLNB_HUMAN;sp|Q14315|FLNC_HUMAN	sp|O75369|FLNB_HUMAN	42;5	42;5	39;2	>sp|O75369|FLNB_HUMAN Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2	2	42	42	39	35	34	34	22	21	22	35	34	34	22	21	22	33	32	31	20	18	19	24.6	24.6	23.8	278.16	2602	2602;2725	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.2	20.7	20.4	13.2	12.4	12.4	5951800000	1329900000	1182700000	1217600000	904530000	633870000	683220000	638830000	677540000	723330000	1346700000	1151400000	1130600000	23	19	21	19	12	11	105				190	346;347;583;589;980;981;986;1117;1207;1208;1223;1537;1590;2269;2416;2525;2527;2579;2791;3200;3229;3405;4368;4854;4934;5162;6196;6261;6285;6512;6970;7022;7115;7133;7213;7281;7316;7528;7536;7685;7827;7870	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	345;346;584;590;982;983;988;1120;1210;1211;1226;1541;1594;2276;2423;2532;2534;2586;2798;3207;3236;3412;4378;4865;4945;5173;6209;6276;6300;6527;6987;7039;7132;7150;7230;7299;7334;7546;7554;7703;7845;7888	1596;1597;1598;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608;1609;2768;2769;2770;2797;2798;2799;4604;4605;4606;4607;4608;4609;4610;4611;4633;4634;4635;4636;4637;5266;5267;5268;5269;5270;5271;5272;5758;5759;5760;5761;5762;5763;5764;5765;5766;5836;5837;5838;5839;5840;5841;7549;7550;7551;7552;7553;7554;7555;7814;7815;7816;7817;7818;7819;7820;7821;7822;7823;7824;7825;7826;7827;7828;7829;11043;11044;11045;11046;11682;11683;11684;12280;12281;12282;12283;12284;12285;12292;12293;12294;12295;12296;12297;12563;12564;12565;13655;13656;13657;13658;15793;15794;15795;15914;15915;15916;15917;16815;16816;21645;21646;21647;21648;21649;21650;24037;24038;24039;24040;24463;24464;24465;24466;24467;24468;24469;24470;24471;24472;24473;24474;25531;25532;25533;25534;30294;30295;30296;30297;30583;30584;30585;30688;30689;31743;31744;31745;31746;31747;31748;33949;33950;33951;33952;33953;33954;34246;34247;34248;34249;34250;34700;34701;34702;34703;34704;34705;34801;34802;34803;34804;35201;35202;35203;35204;35205;35206;35207;35208;35209;35210;35211;35212;35213;35573;35574;35575;35576;35577;35578;35748;35749;35750;36741;36742;36743;36773;37515;37516;37517;37518;37519;38260;38261;38458	1032;1033;1034;1035;1036;1037;1038;1039;1040;1041;1042;1043;1044;1045;1756;1772;1773;1774;2937;2938;2939;2940;2954;2955;2956;3336;3337;3338;3339;3640;3641;3642;3677;3678;4682;4683;4684;4685;4686;4831;4832;4833;4834;4835;4836;6878;6879;6880;7260;7640;7641;7642;7643;7644;7645;7650;7651;7652;7810;8484;8485;9860;9861;9862;9934;9935;10510;10511;13491;13492;14993;14994;14995;15261;15262;15263;15264;15265;15266;15267;15268;15920;15921;18953;18954;19124;19189;19895;19896;19897;21275;21276;21446;21447;21448;21733;21734;21735;21736;21737;21738;21796;22067;22068;22069;22070;22071;22072;22073;22074;22303;22304;22305;22306;22425;23041;23053;23530;23531;24005;24113	1033;1043;1756;1774;2937;2940;2956;3338;3640;3642;3678;4685;4831;6878;7260;7641;7652;7810;8484;9862;9934;10510;13491;14993;15264;15920;18953;19124;19189;19895;21275;21448;21738;21796;22067;22306;22425;23041;23053;23530;24005;24113		
sp|O75380|NDUS6_HUMAN	sp|O75380|NDUS6_HUMAN	2	2	2	>sp|O75380|NDUS6_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens GN=NDUFS6 PE=1 SV=1	1	2	2	2	2	2	2	1	0	0	2	2	2	1	0	0	2	2	2	1	0	0	23.4	23.4	23.4	13.711	124	124	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	23.4	23.4	23.4	12.1	0	0	166580000	56554000	51987000	53350000	4685600	0	0	34801000	42497000	49241000	0	0	0	2	0	0	0	0	0	2				191	7215;7545	True;True	7232;7563	35218;35219;35220;35221;35222;35223;35224;35225;36819;36820;36821;36822;36823	22076;22077;22078;23082;23083	22076;23082		
sp|O75390|CISY_HUMAN	sp|O75390|CISY_HUMAN	5	5	5	>sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2	1	5	5	5	5	4	4	1	1	1	5	4	4	1	1	1	5	4	4	1	1	1	12.4	12.4	12.4	51.712	466	466	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.4	10.1	10.1	3.4	3.4	3.4	340640000	126210000	69767000	78134000	25085000	21579000	19859000	95507000	32511000	84331000	0	0	0	1	1	2	1	1	1	7				192	1153;1495;2829;3745;7598	True;True;True;True;True	1156;1499;2836;3752;7616	5459;5460;5461;7295;13814;13815;13816;13817;13818;13819;18474;18475;18476;37106;37107;37108	3450;3451;3452;4521;8589;8590;8591;8592;8593;11535;11536;23258	3451;4521;8592;11536;23258		
sp|O75396|SC22B_HUMAN	sp|O75396|SC22B_HUMAN	1	1	1	>sp|O75396|SC22B_HUMAN Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	8.8	8.8	8.8	24.593	215	215	0.0069045	By matching	By matching	By MS/MS	By matching	By matching	By matching	8.8	8.8	8.8	8.8	0	0	27539000	11831000	6611500	5528500	3567500	0	0	0	0	0	3567500	0	0	0	0	1	0	0	0	1				193	6904	True	6921	33657;33658;33659;33660	21080	21080		
sp|O75400|PR40A_HUMAN	sp|O75400|PR40A_HUMAN	3	3	3	>sp|O75400|PR40A_HUMAN Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A PE=1 SV=2	1	3	3	3	3	2	3	0	0	0	3	2	3	0	0	0	3	2	3	0	0	0	5.4	5.4	5.4	108.8	957	957	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	5.4	3.8	5.4	0	0	0	40083000	16156000	10297000	13630000	0	0	0	9907100	10387000	10138000	0	0	0	3	2	1	0	0	0	6				194	1902;2486;5453	True;True;True	1908;2493;5464	9393;9394;9395;12063;12064;26882;26883;26884;26885	5838;5839;7495;16781;16782;16783	5838;7495;16783		
sp|O75439|MPPB_HUMAN	sp|O75439|MPPB_HUMAN	2	2	2	>sp|O75439|MPPB_HUMAN Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2	1	2	2	2	1	1	2	1	1	0	1	1	2	1	1	0	1	1	2	1	1	0	6.3	6.3	6.3	54.366	489	489	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	4.3	4.3	6.3	4.3	4.3	0	49505000	6954300	5414400	35979000	618900	538660	0	4700200	4712400	0	0	0	0	1	1	0	0	0	0	2				195	782;3271	True;True	783;3278	3641;3642;3643;3644;3645;3646;3647;3648;16112	2348;2349;2350;10062	2348;10062		
sp|O75475|PSIP1_HUMAN	sp|O75475|PSIP1_HUMAN	1	1	1	>sp|O75475|PSIP1_HUMAN PC4 and SFRS1-interacting protein OS=Homo sapiens GN=PSIP1 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.8	2.8	2.8	60.103	530	530	0.0012618	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	2.8	2.8	2.8	2.8	2.8	2.8	160610000	22621000	14680000	16531000	41409000	36442000	28930000	0	0	0	0	0	39356000	0	0	0	1	0	1	2				196	7000	True	7017	34131;34132;34133;34134;34135;34136	21376;21377	21377		
sp|O75489|NDUS3_HUMAN	sp|O75489|NDUS3_HUMAN	1	1	1	>sp|O75489|NDUS3_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.9	4.9	4.9	30.241	264	264	0.0014451	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	4.9	4.9	4.9	4.9	4.9	4.9	91954000	25205000	22619000	18868000	8693600	8262200	8306300	0	0	0	0	0	11300000	1	1	1	1	1	0	5				197	7564	True	7582	36923;36924;36925;36926;36927;36928	23149;23150;23151;23152;23153	23153		
sp|O75494|SRS10_HUMAN;sp|Q8WXF0|SRS12_HUMAN	sp|O75494|SRS10_HUMAN;sp|Q8WXF0|SRS12_HUMAN	2;1	2;1	2;1	>sp|O75494|SRS10_HUMAN Serine/arginine-rich splicing factor 10 OS=Homo sapiens GN=SRSF10 PE=1 SV=1;>sp|Q8WXF0|SRS12_HUMAN Serine/arginine-rich splicing factor 12 OS=Homo sapiens GN=SRSF12 PE=2 SV=1	2	2	2	2	2	2	1	2	2	1	2	2	1	2	2	1	2	2	1	2	2	1	8.8	8.8	8.8	31.3	262	262;261	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	8.8	8.8	4.6	8.8	8.8	4.6	322020000	89214000	65112000	70376000	59461000	23289000	14570000	68024000	52617000	66364000	32083000	49794000	0	3	3	2	0	0	0	8				198	972;5565	True;True	974;5576	4561;4562;4563;4564;4565;4566;4567;4568;4569;4570;27377;27378;27379;27380	2916;2917;2918;2919;2920;2921;17086;17087	2920;17086		
sp|O75533|SF3B1_HUMAN	sp|O75533|SF3B1_HUMAN	12	12	12	>sp|O75533|SF3B1_HUMAN Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3	1	12	12	12	9	9	9	10	7	9	9	9	9	10	7	9	9	9	9	10	7	9	12.3	12.3	12.3	145.83	1304	1304	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.4	10.1	10.1	10.4	8.1	9.4	823000000	190470000	142780000	161140000	141040000	90231000	97337000	132180000	92347000	122460000	144460000	151800000	147430000	5	3	5	4	1	2	20				199	1416;2657;3716;3717;4176;4577;5479;5633;6150;6347;6482;7352	True;True;True;True;True;True;True;True;True;True;True;True	1420;2664;3723;3724;4184;4588;5490;5644;6163;6362;6497;7370	6903;6904;6905;6906;12910;18338;18339;18340;18341;18342;18343;18344;18345;20684;20685;20686;20687;20688;20689;20690;20691;22722;22723;22724;22725;22726;22727;27002;27003;27004;27718;27719;27720;30102;30103;30104;30105;30106;30107;30946;30947;30948;30949;30950;31585;31586;31587;31588;31589;31590;35904;35905;35906;35907;35908	4291;4292;8030;11451;11452;11453;11454;12906;12907;14171;16862;17302;17303;17304;18826;19371;19372;19373;19374;19811;19812;19813;22518	4291;8030;11451;11453;12906;14171;16862;17302;18826;19372;19813;22518		
sp|O75534|CSDE1_HUMAN	sp|O75534|CSDE1_HUMAN	6	6	6	>sp|O75534|CSDE1_HUMAN Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2	1	6	6	6	4	3	4	5	5	5	4	3	4	5	5	5	4	3	4	5	5	5	13	13	13	88.884	798	798	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.3	6	8.3	11.8	11.8	11.8	523890000	77172000	60222000	72266000	124620000	87374000	102230000	52672000	55020000	57077000	119260000	121990000	135520000	3	2	3	5	3	5	21				200	747;1443;3487;5975;6185;7159	True;True;True;True;True;True	748;1447;3494;5987;6198;7176	3488;3489;3490;3491;3492;3493;3494;7045;7046;7047;17289;17290;17291;29265;29266;29267;29268;29269;29270;30249;30250;30251;34908;34909;34910;34911;34912;34913;34914;34915;34916;34917;34918;34919	2255;2256;2257;2258;4376;4377;4378;10789;10790;10791;18266;18267;18919;18920;21865;21866;21867;21868;21869;21870;21871;21872	2258;4376;10791;18266;18919;21872		
sp|O75607|NPM3_HUMAN	sp|O75607|NPM3_HUMAN	2	2	2	>sp|O75607|NPM3_HUMAN Nucleoplasmin-3 OS=Homo sapiens GN=NPM3 PE=1 SV=3	1	2	2	2	2	2	1	0	1	0	2	2	1	0	1	0	2	2	1	0	1	0	17.4	17.4	17.4	19.343	178	178	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	17.4	17.4	9	0	9	0	166550000	62206000	45932000	58177000	0	233730	0	43169000	0	0	0	0	0	2	2	1	0	0	0	5				201	45;5168	True;True	45;5179	208;209;210;211;25568;25569	148;149;150;15946;15947	149;15947		
sp|O75643|U520_HUMAN	sp|O75643|U520_HUMAN	13	13	13	>sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2	1	13	13	13	9	10	10	10	7	8	9	10	10	10	7	8	9	10	10	10	7	8	9.6	9.6	9.6	244.5	2136	2136	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	7.4	7.8	8.1	6.8	4.8	6.2	621310000	165480000	149830000	150730000	72492000	46408000	36362000	129790000	119110000	131160000	59929000	59250000	57327000	9	7	5	3	0	0	24				202	58;1048;1135;1802;2152;2793;2844;3051;3138;4809;4951;5074;6683	True;True;True;True;True;True;True;True;True;True;True;True;True	58;1051;1138;1807;2159;2800;2851;3058;3145;4820;4962;5085;6698	269;270;271;272;273;274;4951;4952;4953;5361;5362;5363;8922;8923;8924;10531;10532;10533;13661;13662;13663;13664;13877;13878;13879;13880;13881;13882;14885;14886;14887;14888;15432;15433;15434;15435;23804;23805;23806;23807;23808;23809;23810;23811;23812;23813;23814;24558;24559;24560;24561;24562;24563;24564;24565;24566;25123;25124;25125;25126;25127;32609	187;188;189;3147;3394;5529;5530;6555;8488;8489;8490;8622;9261;9626;9627;14847;14848;14849;14850;15319;15320;15321;15322;15652;15653;15654;15655;20425	187;3147;3394;5529;6555;8488;8622;9261;9627;14850;15319;15654;20425		
sp|O75663|TIPRL_HUMAN	sp|O75663|TIPRL_HUMAN	1	1	1	>sp|O75663|TIPRL_HUMAN TIP41-like protein OS=Homo sapiens GN=TIPRL PE=1 SV=2	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	4	4	4	31.444	272	272	0.0080137	By matching	By matching	By MS/MS	By matching	By matching	By matching	4	4	4	0	4	4	52536000	13953000	12081000	14651000	0	4780900	7070300	0	0	0	0	0	9618500	0	0	0	0	0	0	0				203	6901	True	6918	33643;33644;33645;33646;33647	21075	21075		
sp|O75821|EIF3G_HUMAN	sp|O75821|EIF3G_HUMAN	6	6	6	>sp|O75821|EIF3G_HUMAN Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens GN=EIF3G PE=1 SV=2	1	6	6	6	3	4	3	3	3	2	3	4	3	3	3	2	3	4	3	3	3	2	26.2	26.2	26.2	35.611	320	320	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	9.1	14.1	9.1	16.2	16.2	12.2	273250000	49024000	34713000	32479000	79261000	59416000	18359000	32487000	30141000	28092000	0	0	0	3	4	3	2	0	0	12				204	1858;1874;1875;2133;2211;5447	True;True;True;True;True;True	1864;1880;1881;2140;2218;5458	9198;9199;9200;9266;9267;9268;9269;9270;9271;9272;9273;10458;10799;10800;10801;26861;26862;26863	5721;5722;5723;5755;5756;5757;5758;5759;5760;6510;6727;16769	5722;5755;5760;6510;6727;16769		
sp|O75822|EIF3J_HUMAN	sp|O75822|EIF3J_HUMAN	2	2	2	>sp|O75822|EIF3J_HUMAN Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens GN=EIF3J PE=1 SV=2	1	2	2	2	2	1	2	2	1	2	2	1	2	2	1	2	2	1	2	2	1	2	9.7	9.7	9.7	29.062	258	258	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	9.7	5	9.7	9.7	5	9.7	101970000	24838000	20122000	25956000	13269000	6387400	11393000	16253000	0	26285000	11305000	0	13975000	1	1	2	0	0	0	4				205	3945;7376	True;True	3953;7394	19565;19566;19567;19568;36012;36013;36014;36015;36016;36017	12224;22591;22592;22593	12224;22592		
sp|O75874|IDHC_HUMAN	sp|O75874|IDHC_HUMAN	6	6	6	>sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2	1	6	6	6	5	5	6	4	4	4	5	5	6	4	4	4	5	5	6	4	4	4	15.5	15.5	15.5	46.659	414	414	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	12.3	12.3	15.5	11.4	12.3	11.4	635880000	101770000	85970000	133350000	180890000	71592000	62306000	84097000	107950000	141840000	185360000	66818000	33655000	1	4	4	2	2	0	13				206	728;729;2893;5930;6827;7091	True;True;True;True;True;True	729;730;2900;5941;6843;7108	3406;3407;3408;3409;3410;3411;3412;3413;3414;14107;14108;14109;14110;29072;29073;29074;29075;29076;29077;33255;33256;33257;33258;33259;33260;33261;33262;33263;33264;34587;34588;34589;34590;34591	2201;2202;2203;2204;8763;8764;18147;18148;20838;20839;20840;20841;21654;21655;21656	2201;2204;8763;18147;20839;21654		
sp|O75915|PRAF3_HUMAN	sp|O75915|PRAF3_HUMAN	3	3	3	>sp|O75915|PRAF3_HUMAN PRA1 family protein 3 OS=Homo sapiens GN=ARL6IP5 PE=1 SV=1	1	3	3	3	3	2	3	2	1	2	3	2	3	2	1	2	3	2	3	2	1	2	16.5	16.5	16.5	21.614	188	188	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	16.5	16.5	16.5	16.5	5.9	16.5	201000000	51050000	27144000	32194000	31412000	29035000	30161000	34514000	37398000	30729000	22739000	0	32539000	2	1	3	1	1	0	8				207	837;5828;6726	True;True;True	838;5839;6741	3900;3901;3902;3903;3904;3905;28641;28642;28643;28644;28645;32817;32818;32819	2503;2504;2505;17874;17875;20550;20551;20552	2505;17874;20550		
sp|O75937|DNJC8_HUMAN	sp|O75937|DNJC8_HUMAN	1	1	1	>sp|O75937|DNJC8_HUMAN DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	6.3	6.3	6.3	29.841	253	253	0.0012945	By matching	By matching	By MS/MS	By matching	By matching	By matching	0	0	6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2				208	1746	True	1751	8617;8618	5340;5341	5341		
sp|O75947|ATP5H_HUMAN	sp|O75947|ATP5H_HUMAN	2	2	2	>sp|O75947|ATP5H_HUMAN ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3	1	2	2	2	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	16.1	16.1	16.1	18.491	161	161	0.0015291	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	16.1	16.1	16.1	0	0	0	53774000	17560000	17316000	18898000	0	0	0	11515000	12672000	18549000	0	0	0	1	1	1	0	0	0	3				209	5876;6575	True;True	5887;6590	28834;28835;28836;32081;32082;32083	17998;17999;20121	17999;20121		
