Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P01966;P69905;P02008	CON__P01966	7;3;1	7;3;1	6;3;1				3	7	7	6	54.9	54.9	46.5	15.184	142	142;142;142	0	53.797	94561	235260	393670	1433200	1678400	94383	254440	406970	1345800	1596400	11	11	11	11	11	1042400000	11			+	10	3865;8394;8658;11372;11384;11565;11711	True;True;True;True;True;True;True	3853;8400;8401;11379;11391;11572;11718	4696;10182;10183;10184;13705;13719;13720;13940;14123;14124	5038;10867;10868;10869;14652;14666;14667;14905;15095;15096;15097	5038;10868;14652;14666;14905;15095	1	33
CON__P02769;CON__P02768-1;P02768	CON__P02769	16;1;1	16;1;1	16;1;1				3	16	16	16	28.3	28.3	28.3	69.293	607	607;609;609	0	126.61	140970	355710	658240	1678400	1712300	141770	373350	655870	1580400	1642900	16	16	16	16	16	456370000	17			+	11	1341;2608;3605;3848;4121;5364;6806;7109;7535;8153;8184;8557;9670;10078;10749;11756	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1326;2593;3592;3836;4111;5359;6811;7115;7543;8163;8194;8565;9682;10088;10756;11763	1632;3176;4361;4678;5027;6545;8266;8619;9164;9891;9937;10373;11681;12163;12965;14179	1766;3428;4682;5019;5385;7015;8860;9239;9811;10562;10609;11068;12486;13023;13875;13876;15156	1766;3428;4682;5019;5385;7015;8860;9239;9811;10562;10609;11068;12486;13023;13875;15156		
CON__P02777	CON__P02777	1	1	1				1	1	1	1	5.2	5.2	5.2	24.241	230	230	0.00057208	8.3978	12043	31204	63949	162510	171240	12226	33107	63727	152850	164200	1	1	1	1	1	44796000	1			+	12	6554	True	6558	7987	8561	8561		
CON__P04264;P04264;CON__Q8BGZ7;CON__P50446;CON__Q922U2;CON__Q5XQN5;CON__ENSEMBL:ENSBTAP00000038253	CON__P04264;P04264;CON__Q8BGZ7;CON__P50446;CON__Q922U2;CON__Q5XQN5;CON__ENSEMBL:ENSBTAP00000038253	2;2;1;1;1;1;1	2;2;1;1;1;1;1	2;2;1;1;1;1;1	Keratin, type II cytoskeletal 1	KRT1	;;;;;;	7	2	2	2	3.3	3.3	3.3	66.017	644	644;644;551;553;580;601;606	0	15.302	10866	22828	43593	134970	144120	10821	24594	44189	126770	137620	2	2	2	2	2	31425000	2			+	13	10187;11044	True;True	10195;11051	12290;13321	13152;14251	13152;14251		
CON__P06868	CON__P06868	1	1	1				1	1	1	1	1.4	1.4	1.4	91.215	812	812	0.0020305	6.5013	953.22	2504	5540	15942	18660	974.76	2724.1	5598	14964	17813	1	1	1	1	1	1988800	1			+	14	3327	True	3313	4034	4341	4341		
CON__P12763;P02765	CON__P12763	6;2	6;2	6;2				2	6	6	6	17.8	17.8	17.8	38.418	359	359;367	0	41.246	73241	171610	317630	950930	1133000	73273	183400	323420	893780	1080500	10	11	11	11	11	363340000	11			+	15	1607;1625;3587;5426;9183;9424	True;True;True;True;True;True	1589;1607;3574;5423;9195;9436	1967;1990;4341;4342;6620;6621;6622;11112;11380;11381	2133;2156;4661;4662;4663;7099;7100;7101;11871;12158;12159	2133;2156;4661;7099;11871;12159		
CON__P13645;P13645;CON__P02535-1	CON__P13645;P13645;CON__P02535-1	4;4;2	4;4;2	4;4;2	Keratin, type I cytoskeletal 10	KRT10	;;	3	4	4	4	8.3	8.3	8.3	59.51	593	593;584;570	0	29.542	19655	48223	93579	258140	279200	19793	51325	93991	242720	267120	5	5	5	5	5	34476000	6			+	16	335;850;7220;7554	True;True;True;True	326;835;7226;7562	424;425;1040;1041;8773;9184	466;467;1127;1128;9407;9832	466;1128;9407;9832	2	271
CON__P34955	CON__P34955	2	2	2				1	2	2	2	4.3	4.3	4.3	46.103	416	416	0	11.613	17871	38937	86414	175730	165760	18016	40681	84792	165550	160310	2	2	2	2	2	12951000	2			+	17	342;8109	True;True	333;8119	434;9838	476;10509	476;10509		
CON__P41361	CON__P41361	1	1	1				1	1	1	1	2.4	2.4	2.4	52.347	465	465	0.00053419	7.0156	3294.2	9921.5	15812	50136	55239	3319.1	10491	16054	47170	52699	1	1	1	1	1	9307400	1			+	18	6305	True	6309	7705	8257	8257		
CON__P81644	CON__P81644	3	3	3				1	3	3	3	35	35	35	11.202	100	100	0	20.732	16168	36761	76039	223800	242900	16267	39754	76731	210150	232090	4	4	4	4	4	49392000	4			+	19	640;4989;11161	True;True;True	625;4983;11168	784;6083;6084;13460	860;6517;6518;14394	860;6518;14394		
CON__Q03247;P02649	CON__Q03247;P02649	3;2	3;2	3;2	Apolipoprotein E	APOE	;	2	3	3	3	11.1	11.1	11.1	35.979	316	316;317	0	20.991	10975	30587	64678	152950	161030	11237	32305	64120	143920	154660	4	4	4	4	4	26906000	4			+	20	7087;7835;10636	True;True;True	7093;7845;10644	8592;8593;9525;12822	9212;9213;10184;13710	9212;10184;13710		
CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2	1;1	1;1	1;1			;	2	1	1	1	2	2	2	75.829	685	685;704	0.00055866	7.7494	3169.7	8734.2	19835	54075	60245	3262.3	9466.4	19886	50770	57619	1	1	1	1	1	6054000	1			+	21	2146	True	2130	2618	2818	2818		
CON__Q28107	CON__Q28107	2	2	2				1	2	2	2	1	1	1	248.98	2211	2211	0	11.231	5902.3	15128	28626	78044	98662	5951.4	16033	29031	73410	94147	2	2	2	2	2	6491600	2			+	22	6528;10056	True;True	6532;10066	7954;12132	8526;12990	8526;12990		
CON__Q3SX09;CON__P02070;P68871;P02042;P69892;P69891;P02100	CON__Q3SX09	8;2;2;2;1;1;1	8;2;2;2;1;1;1	8;2;2;2;1;1;1				7	8	8	8	48.8	48.8	48.8	22.06	201	201;145;147;147;147;147;147	0	95.637	79532	196600	344730	1072800	1183000	79585	209720	350000	1008500	1129000	12	12	12	12	12	1041600000	12			+	23	246;3753;7421;7689;9569;11864;11890;12356	True;True;True;True;True;True;True;True	240;3740;7428;7697;9581;11873;11899;12367	317;4540;4541;4542;9024;9340;9341;11562;14317;14347;14931	352;4867;4868;4869;9666;9667;9996;9997;12358;15302;15332;15953	352;4867;9667;9996;12358;15302;15332;15953		
CON__Q3SX28;P07951;P09493	CON__Q3SX28;P07951;P09493	9;9;6	1;1;0	1;1;0	Tropomyosin beta chain;Tropomyosin alpha-1 chain	TPM2;TPM1	;;	3	9	1	1	22.9	3.2	3.2	33.012	284	284;284;284	0.00054348	7.3003	13440	33247	54484	201630	222990	13393	35936	56146	189340	212220	1	1	1	1	1	21880000	1			+	24	47;2648;6009;6010;6691;6951;7072;8363;9611	False;False;False;False;False;False;False;True;False	46;2633;6010;6011;6695;6956;7078;8371;9623	55;3221;7341;7342;8142;8429;8430;8571;8572;10149;11611;11612	60;3477;7868;7869;8726;9038;9039;9040;9190;9191;10832;12411;12412	60;3477;7868;7869;8726;9040;9190;10832;12411		
CON__Q3ZBS7;P04004	CON__Q3ZBS7	7;2	7;2	7;2				2	7	7	7	16.3	16.3	16.3	54.099	484	484;478	0	53.438	53616	143780	272280	719720	755100	54244	151870	272030	677210	723510	10	10	10	10	10	569250000	10			+	25	1522;2286;2386;3963;4778;9733;10094	True;True;True;True;True;True;True	1505;2270;2370;3951;4772;9745;10105	1861;2785;2910;2911;4811;5840;5841;11747;12183;12184	2017;2998;3135;3136;5155;6249;6250;12563;13044;13045	2017;2998;3135;5155;6250;12563;13044		
Q13765;E9PAV3	Q13765;E9PAV3	4;4	4;4	4;4	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	;	2	4	4	4	26.5	26.5	26.5	23.384	215	215;2078	0	49.085	57493	138390	264410	811860	883380	57714	148950	267730	762640	843400	7	8	8	8	8	486100000	8				26	1901;5586;8926;10318	True;True;True;True	1884;5584;8938;10326	2320;2321;6814;6815;10820;10821;12446;12447	2508;2509;7308;7309;11558;11559;13314;13315	2509;7308;11559;13315		
E9PQ53;O95298	E9PQ53;O95298	2;2	2;2	2;2	NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2;NADH dehydrogenase [ubiquinone] 1 subunit C2	NDUFC2-KCTD14;NDUFC2	;	2	2	2	2	14	14	14	13.407	114	114;119	0	12.311	8902.5	18925	37706	97950	91380	8895.3	20065	37474	92130	87821	1	1	1	1	1	8543000	2				27	2229;3895	True;True	2213;3883	2714;4733	2919;5075	2919;5075		
O00115	O00115	2	2	2	Deoxyribonuclease-2-alpha	DNASE2		1	2	2	2	5.8	5.8	5.8	39.58	360	360	0	11.797	11981	29664	53607	145720	146260	12014	31268	53591	137140	140190	2	2	2	2	2	12528000	2				28	4905;12691	True;True	4899;12702	5987;15352	6414;16404	6414;16404		
O00116	O00116	4	4	4	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS		1	4	4	4	6.2	6.2	6.2	72.911	658	658	0	25.916	19973	44906	92408	212780	240190	20073	47153	92082	200340	230470	3	3	3	3	3	22520000	4				29	3469;4924;5168;6027	True;True;True;True	3455;4918;5163;6028	4196;6007;6302;7362	4513;6435;6756;7891	4513;6435;6756;7891		
O00148	O00148	11	5	5	ATP-dependent RNA helicase DDX39A	DDX39A		1	11	5	5	24.4	10.3	10.3	49.129	427	427	0	40.879	36724	103230	185540	585280	632490	37140	110630	187930	549980	603660	6	6	6	6	6	160740000	6				30	1796;3921;4660;4779;5299;5878;6452;8043;8494;8728;9541	False;True;False;True;True;False;True;False;False;True;False	1778;3909;4654;4773;5294;5878;6456;8053;8502;8740;9553	2193;4763;5689;5690;5842;6472;7180;7870;9758;9759;10299;10579;11511	2372;5105;6093;6094;6251;6940;7694;8435;10428;10429;10990;11291;11292;12299	2372;5105;6093;6251;6940;7694;8435;10428;10990;11291;12299		
O00151	O00151	5	5	5	PDZ and LIM domain protein 1	PDLIM1		1	5	5	5	19.8	19.8	19.8	36.071	329	329	0	38.593	22122	65264	124380	338410	365800	22560	69208	124580	318290	350070	5	5	5	5	5	46239000	5				31	1788;4216;5386;11259;12380	True;True;True;True;True	1770;4207;5381;11265;12391	2182;5147;6568;13571;14958	2361;5510;7040;14511;15982	2361;5510;7040;14511;15982		
O00154	O00154	2	2	2	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7		1	2	2	2	6.1	6.1	6.1	41.796	380	380	0	17.427	26048	59717	119950	322110	338260	26170	63616	120110	302840	323990	2	2	2	2	2	67821000	2				32	1368;8445	True;True	1353;8452	1666;10239	1801;10928	1801;10928		
O00165	O00165	1	1	1	HCLS1-associated protein X-1	HAX1		1	1	1	1	2.5	2.5	2.5	31.62	279	279	0.0047962	6.0588	0	0	725.9	524.92	237.1	0	0	678.49	488.3	262.82	0	0	1	1	1	1985400	1				33	10203	True	10211	12311	13173	13173		
O00170	O00170	6	6	6	AH receptor-interacting protein	AIP		1	6	6	6	19.1	19.1	19.1	37.636	330	330	0	44.311	32251	85116	166600	450660	492380	32671	90477	167070	423780	471170	6	6	6	6	6	72035000	7				34	1508;5268;7831;7925;11905;12855	True;True;True;True;True;True	1491;5263;7841;7935;11914;12869	1846;6434;9520;9625;14366;14367;15555	2001;6900;10179;10289;15351;15352;16621	2001;6900;10179;10289;15351;16621		
O00178	O00178	1	1	1	GTP-binding protein 1	GTPBP1		1	1	1	1	1.3	1.3	1.3	72.453	669	669	0.002009	6.4179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				35	6578	True	6582	8013	8588	8588		
O00193	O00193	2	2	2	Small acidic protein	SMAP		1	2	2	2	12.6	12.6	12.6	20.332	183	183	0	18.699	10112	30749	54543	140340	152100	10277	32163	54475	132200	145720	2	2	2	2	2	46250000	2				36	5936;8135	True;True	5936;8145	7248;9868	7763;10539	7763;10539		
O00203;Q13367	O00203	4;1	4;1	4;1	AP-3 complex subunit beta-1	AP3B1		2	4	4	4	3	3	3	121.32	1094	1094;1082	0	25.346	7808.2	18149	31340	115090	122270	7776.2	19733	32171	108030	116440	1	1	1	1	1	5873700	4				37	2568;5493;6672;10504	True;True;True;True	2553;5490;6676;10512	3128;6701;8122;12665	3377;7190;8705;13548	3377;7190;8705;13548		
O00231	O00231	13	13	13	26S proteasome non-ATPase regulatory subunit 11	PSMD11		1	13	13	13	31.5	31.5	31.5	47.463	422	422	0	103.16	124490	312600	563860	1657400	1887800	124930	332340	571140	1558500	1802300	14	14	14	14	14	529390000	15				38	141;1205;1927;2571;3324;5923;8179;8223;9537;10896;11366;11783;12304	True;True;True;True;True;True;True;True;True;True;True;True;True	138;1192;1910;2556;3310;5923;8189;8233;9549;10903;11373;11790;12315	171;1479;2352;3131;4031;7231;9929;9984;9985;11507;13142;13143;13699;14211;14858	187;1598;2543;3380;4338;7746;10601;10658;10659;12295;14061;14062;14646;15190;15867	187;1598;2543;3380;4338;7746;10601;10659;12295;14061;14646;15190;15867		
O00232	O00232	6	6	6	26S proteasome non-ATPase regulatory subunit 12	PSMD12		1	6	6	6	16	16	16	52.904	456	456	0	48.523	26356	64389	127970	405370	461750	26577	69943	130230	380540	440290	6	6	6	6	6	81758000	6				39	3761;7017;8282;10716;11245;12474	True;True;True;True;True;True	3748;7022;8292;10724;11251;12485	4551;8504;10058;12918;13552;15092	4878;9118;10737;13814;14491;16132	4878;9118;10737;13814;14491;16132		
O00233	O00233	3	3	3	26S proteasome non-ATPase regulatory subunit 9	PSMD9		1	3	3	3	13	13	13	24.682	223	223	0	18.452	16705	42139	81034	207090	218550	16844	44420	80871	194900	209530	3	3	3	3	3	24927000	3				40	1058;2097;6650	True;True;True	1044;2081;6654	1296;2553;8098	1400;2748;8680	1400;2748;8680		
O00244	O00244	1	1	1	Copper transport protein ATOX1	ATOX1		1	1	1	1	11.8	11.8	11.8	7.4016	68	68	0.003408	6.2206	3214.6	8023.4	21769	72620	58654	3333	9229.6	21649	67983	56234	1	1	1	1	1	29676000	1				41	11338	True	11344	13663	14609	14609		
O00267	O00267	1	1	1	Transcription elongation factor SPT5	SUPT5H		1	1	1	1	1.7	1.7	1.7	121	1087	1087	0.0087922	5.7593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				42	11114	True	11121	13406	14339	14339		
O00299	O00299	13	13	13	Chloride intracellular channel protein 1	CLIC1		1	13	13	13	71.8	71.8	71.8	26.922	241	241	0	148.03	113280	291270	548220	1602100	1788200	114210	311010	553820	1506000	1708000	17	17	17	17	17	1212600000	17				43	404;635;2692;3873;5175;5594;5694;6974;7410;9003;9730;11887;12717	True;True;True;True;True;True;True;True;True;True;True;True;True	394;620;2677;3861;5170;5592;5692;6979;7417;9015;9742;11896;12729	511;512;779;3273;3274;4705;6312;6825;6951;8456;9011;9012;10910;11744;14344;15387	559;560;855;3533;3534;5047;6768;7321;7455;9068;9653;9654;11655;12560;15329;16441;16442	560;855;3534;5047;6768;7321;7455;9068;9653;11655;12560;15329;16441		
O00303	O00303	6	6	6	Eukaryotic translation initiation factor 3 subunit F	EIF3F		1	6	6	6	17.9	17.9	17.9	37.563	357	357	0	47.811	37552	90290	173040	488640	543820	37729	96223	174470	459390	519780	6	6	6	6	6	130010000	7				44	3892;7417;8917;11088;11796;12531	True;True;True;True;True;True	3880;7424;8929;11095;11803;12542	4729;9019;10810;13376;14229;14230;15166	5071;9661;11547;14309;15209;15210;16208	5071;9661;11547;14309;15209;16208		
O00410;O60518	O00410	19;1	19;1	19;1	Importin-5	IPO5		2	19	19	19	23.2	23.2	23.2	123.63	1097	1097;1105	0	164.3	123680	317630	591220	1662100	1820200	124540	337180	595010	1563200	1740400	19	21	21	21	21	403170000	21				45	1321;2758;2791;3919;4074;4096;5275;6775;7099;7671;8260;9025;9134;9490;10260;10993;11382;11488;12107	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1306;2743;2776;3907;4064;4086;5270;6780;7105;7679;8270;9037;9146;9502;10268;11000;11389;11495;12118	1609;3347;3387;4761;4970;4999;6441;8233;8608;9322;10030;10935;11059;11453;11454;12378;13265;13716;13717;13846;14628	1740;3608;3651;5103;5324;5355;6907;8826;9228;9978;10708;11682;11814;12239;12240;13242;14193;14663;14664;14804;15628	1740;3608;3651;5103;5324;5355;6907;8826;9228;9978;10708;11682;11814;12239;13242;14193;14664;14804;15628		
O00418	O00418	1	1	1	Eukaryotic elongation factor 2 kinase	EEF2K		1	1	1	1	1.7	1.7	1.7	82.143	725	725	0.0005777	8.6297	1761	4539.7	6835.1	18699	21703	1750.3	4701.5	6912.6	17638	20739	1	1	1	1	1	2089700	1				46	508	True	495	627	682	682		
O00422	O00422	2	2	2	Histone deacetylase complex subunit SAP18	SAP18		1	2	2	2	13.1	13.1	13.1	17.561	153	153	0	14.027	12930	28996	57011	173270	177810	12953	31281	57485	162730	169970	2	2	2	2	2	59296000	2				47	3593;6524	True;True	3580;6528	4348;7950	4669;8522	4669;8522		
